Testcase,Alg,Runtime (mili sec),Value,Weight,Size
test1,Greedy by Weight,6.97851181,114,49,10
test1,Greedy by Value,1.000404358,123,50,7
test1,Greedy by Ratio,0.9977817535,134,48,9
test1,Exhaustive Search with Pruning,1502.077818,136,50,9
test1,Exhaustive Search,1619.181395,136,50,9
test1,Simmulated Annealing,720.7121849,131,47,9
test2,Greedy by Weight,4.988670349,97,44,9
test2,Greedy by Value,1.506328583,92,50,6
test2,Greedy by Ratio,0.9934902191,104,47,8
test2,Exhaustive Search with Pruning,1199.674845,106,49,8
test2,Exhaustive Search,1181.004047,106,49,8
test2,Simmulated Annealing,574.1312504,92,49,7
test3,Greedy by Weight,6.981372833,111,70,10
test3,Greedy by Value,0.9949207306,110,70,6
test3,Greedy by Ratio,0.9999275208,127,70,9
test3,Exhaustive Search with Pruning,3572.24226,127,70,9
test3,Exhaustive Search,3632.208586,127,70,9
test3,Simmulated Annealing,490.4882908,99,69,7
test4,Greedy by Weight,6.504058838,25,39,6
test4,Greedy by Value,0.9970664978,67,48,3
test4,Greedy by Ratio,0.9968280792,66,48,5
test4,Exhaustive Search with Pruning,31.84485435,67,48,3
test4,Exhaustive Search,28.89060974,67,48,3
test4,Simmulated Annealing,383.2294941,57,47,5
test5,Greedy by Weight,7.516860962,8,6,2
test5,Greedy by Value,1.394748688,7,5,1
test5,Greedy by Ratio,0.9725093842,7,5,1
test5,Exhaustive Search with Pruning,0.9953975677,8,6,2
test5,Exhaustive Search,0.9977817535,8,6,2
test5,Simmulated Annealing,253.3509731,8,6,2
test6,Greedy by Weight,6.054878235,27,9,2
test6,Greedy by Value,0.9949207306,37,10,2
test6,Greedy by Ratio,0.9973049164,37,10,2
test6,Exhaustive Search with Pruning,1.995325089,37,10,2
test6,Exhaustive Search,0.9970664978,37,10,2
test6,Simmulated Annealing,21886.33585,20,10,2
test7,Greedy by Weight,7.499933243,81,43,8
test7,Greedy by Value,0.9970664978,92,50,5
test7,Greedy by Ratio,0.9982585907,112,49,8
test7,Exhaustive Search with Pruning,376.4810562,113,50,8
test7,Exhaustive Search,432.0175648,113,50,8
test7,Simmulated Annealing,466.4046764,102,47,7
test8,Greedy by Weight,9.463310242,80,88,6
test8,Greedy by Value,0.997543335,87,91,4
test8,Greedy by Ratio,0.997543335,102,99,6
test8,Exhaustive Search with Pruning,164.0145779,106,100,6
test8,Exhaustive Search,154.5143127,106,100,6
test8,Simmulated Annealing,504.3554306,82,96,5
test9,Greedy by Weight,7.979393005,229,132,19
test9,Greedy by Value,0.9956359863,182,137,9
test9,Greedy by Ratio,0.9968280792,271,140,18
test9,Exhaustive Search with Pruning,1200+ seconds,Did not Finish,0,0
test9,Exhaustive Search,1200+ seconds,Did not Finish,0,0
test9,Simmulated Annealing,1074.003935,187,140,12
test10,Greedy by Weight,7.070064545,172,15,7
test10,Greedy by Value,0.9987354279,67,14,2
test10,Greedy by Ratio,1.996517181,166,14,6
test10,Exhaustive Search with Pruning,613.2996082,172,15,7
test10,Exhaustive Search,615.3299809,172,15,7
test10,Simmulated Annealing,300+ second,Did not Finish,0,0
test11,Greedy by Weight,1.059293747,252,24,11
test11,Greedy by Value,1.001358032,139,25,4
test11,Greedy by Ratio,0.9970664978,273,25,11
test11,Exhaustive Search with Pruning,1200+ seconds,Did not Finish,0,0
test11,Exhaustive Search,1200+ seconds,Did not Finish,0,0
test11,Simmulated Annealing,300+ second,Did not Finish,0,0
test12,Greedy by Weight,5.984067917,703,93,11
test12,Greedy by Value,0.9977817535,726,99,9
test12,Greedy by Ratio,1.235456983,766,93,11
test12,Exhaustive Search with Pruning,2.060024261,771,100,10
test12,Exhaustive Search,1.964627981,771,100,10
test12,Simmulated Annealing,0.8046998978,763,98,11
test13,Greedy by Weight,7.540464401,1641,249,82
test13,Greedy by Value,0.997543335,1672,250,73
test13,Greedy by Ratio,0.9970664978,1722,248,79
test13,Exhaustive Search with Pruning,1200+ seconds,Did not Finish,0,0
test13,Exhaustive Search,1200+ seconds,Did not Finish,0,0
test13,Simmulated Annealing,2597.465754,1559,250,76
test14,Greedy by Weight,9.500741959,2005,339,100
test14,Greedy by Value,0.9968280792,2005,339,100
test14,Greedy by Ratio,0.997543335,2005,339,100
test14,Exhaustive Search with Pruning,1200+ seconds,Did not Finish,0,0
test14,Exhaustive Search,1200+ seconds,Did not Finish,0,0
test14,Simmulated Annealing,2650.974512,2005,339,100
test20,Greedy by Weight,5.969762802,250,50,11
test20,Greedy by Value,3.972728801,219,49,7
test20,Greedy by Ratio,1.505851746,259,49,10
test20,Exhaustive Search with Pruning,1675.428391,260,50,10
test20,Exhaustive Search,1759.397268,260,50,10
test20,Simmulated Annealing,875.0123978,256,49,10
test21,Greedy by Weight,5.4936409,83,148,8
test21,Greedy by Value,1.000642776,121,140,5
test21,Greedy by Ratio,1.021141146,121,140,5
test21,Exhaustive Search with Pruning,860.7366085,122,150,6
test21,Exhaustive Search,844.3527222,122,150,6
test21,Simmulated Annealing,867.0201302,107,149,6
test30,Greedy by Weight,7.496356964,240,49,12
test30,Greedy by Value,0.9968280792,219,49,7
test30,Greedy by Ratio,1.876845192,264,49,11
test30,Exhaustive Search with Pruning,39347.35537,265,50,11
test30,Exhaustive Search,39146.13605,265,50,11
test30,Simmulated Annealing,1029.23131,232,50,10
test40,Greedy by Weight,6.499767303,275,48,13
test40,Greedy by Value,0.9968280792,262,50,8
test40,Greedy by Ratio,1.296823073,309,49,11
test40,Exhaustive Search with Pruning,1165287.5,312,50,12
test40,Exhaustive Search,1220245.008,312,50,12
test40,Simmulated Annealing,1029.23131,243,49,11
test50,Greedy by Weight,6.349563599,329,50,15
test50,Greedy by Value,0.9968280792,298,50,9
test50,Greedy by Ratio,0.9977817535,382,49,13
test50,Exhaustive Search with Pruning,1200+ seconds,Did not Finish,0,0
test50,Exhaustive Search,1200+ seconds,Did not Finish,0,0
test50,Simmulated Annealing,300+ second,Did not Finish,0,0
test60,Greedy by Weight,5.984067917,322,47,15
test60,Greedy by Value,1.010656357,334,50,10
test60,Greedy by Ratio,0.9915828705,405,50,15
test60,Exhaustive Search with Pruning,1200+ seconds,Did not Finish,0,0
test60,Exhaustive Search,1200+ seconds,Did not Finish,0,0
test60,Simmulated Annealing,300+ second,Did not Finish,0,0
test75,Greedy by Weight,6.994485855,363,50,17
test75,Greedy by Value,0.9970664978,334,50,10
test75,Greedy by Ratio,0.9870649088,438,50,15
test75,Exhaustive Search with Pruning,1200+ seconds,Did not Finish,0,0
test75,Exhaustive Search,1200+ seconds,Did not Finish,0,0
test75,Simmulated Annealing,300+ second,Did not Finish,0,0
test90,Greedy by Weight,6.644010544,383,50,18
test90,Greedy by Value,0.9984970093,334,50,10
test90,Greedy by Ratio,0.997543335,446,50,16
test90,Exhaustive Search with Pruning,1200+ seconds,Did not Finish,0,0
test90,Exhaustive Search,1200+ seconds,Did not Finish,0,0
test90,Simmulated Annealing,300+ second,Did not Finish,0,0
test100,Greedy by Weight,6.984949112,324,198,26
test100,Greedy by Value,0.9968280792,288,199,15
test100,Greedy by Ratio,0.997543335,379,200,24
test100,Exhaustive Search with Pruning,1200+ seconds,Did not Finish,0,0
test100,Exhaustive Search,1200+ seconds,Did not Finish,0,0
test100,Simmulated Annealing,300+ second,Did not Finish,0,0
test200,Greedy by Weight,7.495164871,437,196,33
test200,Greedy by Value,1.003026962,353,198,18
test200,Greedy by Ratio,1.990556717,528,197,30
test200,Exhaustive Search with Pruning,1200+ seconds,Did not Finish,0,0
test200,Exhaustive Search,1200+ seconds,Did not Finish,0,0
test200,Simmulated Annealing,300+ second,Did not Finish,0,0
test400,Greedy by Weight,9.195804596,476,199,38
test400,Greedy by Value,2.081394196,320,199,16
test400,Greedy by Ratio,2.990961075,599,200,34
test400,Exhaustive Search with Pruning,1200+ seconds,Did not Finish,0,0
test400,Exhaustive Search,1200+ seconds,Did not Finish,0,0
test400,Simmulated Annealing,300+ second,Did not Finish,0,0
